Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	yeast1 Spectral Count	yeast2 Spectral Count	yeast3 Spectral Count	yeast1 Unique Spectral Count	yeast2 Unique Spectral Count	yeast3 Unique Spectral Count	yeast1 Total Spectral Count	yeast2 Total Spectral Count	yeast3 Total Spectral Count	yeast1 Intensity	yeast2 Intensity	yeast3 Intensity	yeast1 MaxLFQ Intensity	yeast2 MaxLFQ Intensity	yeast3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P04807|HXKB_YEAST	P04807	HXKB_YEAST	HXK2	486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Hexokinase-2	1.0	0.999	23	327	269	327	103	107	117	84	90	95	103	107	117	2.61718477E9	2.93971661E9	3.01757926E9	3.94417952E8	5.06308128E8	4.98783712E8	
sp|P04819|DNLI1_YEAST	P04819	DNLI1_YEAST	CDC9	755	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA ligase 1	0.9674	0.999	1	4	4	4	2	1	1	2	1	1	2	1	1	1847747.6	2621666.8	2609054.5	1847747.6	2621666.8	2609054.5	
sp|P04840|VDAC1_YEAST	P04840	VDAC1_YEAST	POR1	283	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial outer membrane protein porin 1	1.0	0.999	12	188	188	188	62	59	67	62	59	67	62	59	67	1.55030426E9	1.4542688E9	1.57167642E9	2.20794528E8	2.20614256E8	2.46127264E8	
sp|P04911|H2A1_YEAST	P04911	H2A1_YEAST	HTA1	132	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histone H2A.1	1.0	0.999	4	92	0	92	29	32	31	0	0	0	29	32	31	5.183488E8	6.1583482E8	6.0425779E8	2.07640768E8	2.196248E8	2.22045856E8	sp|P04912|H2A2_YEAST
sp|P05030|PMA1_YEAST	P05030	PMA1_YEAST	PMA1	918	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Plasma membrane ATPase 1	1.0	0.999	27	353	153	353	115	116	122	48	51	54	115	116	122	3.59870259E9	3.39565594E9	3.75066189E9	4.02867232E8	4.19917088E8	4.43230432E8	
sp|P05317|RLA0_YEAST	P05317	RLA0_YEAST	RPP0	312	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S acidic ribosomal protein P0	1.0	0.999	12	138	138	138	47	40	51	47	40	51	47	40	51	1.23555891E9	1.28016768E9	1.27072986E9	2.89556672E8	2.94930944E8	2.90159712E8	
sp|P05318|RLA1_YEAST	P05318	RLA1_YEAST	RPP1A	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S acidic ribosomal protein P1-alpha	1.0	0.999	2	23	23	23	7	9	7	7	9	7	7	9	7	2.16581456E8	3.005264E8	2.29897616E8	1.97548736E8	2.67620752E8	2.05198128E8	
sp|P05319|RLA2_YEAST	P05319	RLA2_YEAST	RPP2A	106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S acidic ribosomal protein P2-alpha	1.0	0.999	4	55	55	55	18	19	18	18	19	18	18	19	18	7.7583078E8	6.8433549E8	8.285232E8	3.1963664E8	3.443376E8	3.85157344E8	
sp|P05373|HEM2_YEAST	P05373	HEM2_YEAST	HEM2	342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Delta-aminolevulinic acid dehydratase	1.0	0.999	6	22	22	22	8	7	7	8	7	7	8	7	7	3.9428264E7	3.3423236E7	3.707608E7	1.0727623E7	1.041172E7	1.1557817E7	
sp|P05374|CHO2_YEAST	P05374	CHO2_YEAST	CHO2	869	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Phosphatidylethanolamine N-methyltransferase	1.0	0.999	6	13	13	14	7	3	3	7	3	3	7	3	4	1.8004772E7	2.3732856E7	2.1505958E7	5059134.5	6474520.5	6343831.0	
sp|P05375|PLMT_YEAST	P05375	PLMT_YEAST	OPI3	206	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Phosphatidyl-N-methylethanolamine N-methyltransferase	0.9674	0.999	1	2	2	2	0	1	1	0	1	1	0	1	1	0.0	4494519.5	6106407.0	0.0	4494519.5	6106407.0	
sp|P05453|ERF3_YEAST	P05453	ERF3_YEAST	SUP35	685	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic peptide chain release factor GTP-binding subunit	1.0	0.999	15	44	44	44	17	16	11	17	16	11	17	16	11	1.46615216E8	1.56267216E8	1.82246688E8	2.8385228E7	2.745389E7	2.936196E7	
sp|P05694|METE_YEAST	P05694	METE_YEAST	MET6	767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	1.0	0.999	34	237	237	237	77	84	76	77	84	76	77	84	76	9.3088499E8	9.321783E8	1.00104947E9	9.1366544E7	9.2329744E7	9.604324E7	
sp|P05737|RL7A_YEAST	P05737	RL7A_YEAST	RPL7A	244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L7-A	1.0	0.999	11	169	23	169	54	55	60	8	8	7	54	55	60	1.89817536E9	1.76465946E9	1.798704E9	3.88525568E8	3.71277312E8	4.10127392E8	
sp|P05738|RL9A_YEAST	P05738	RL9A_YEAST	RPL9A	191	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L9-A	1.0	0.999	7	105	5	105	36	32	37	2	1	2	36	32	37	7.3222451E8	7.9002829E8	7.6667603E8	2.68376256E8	2.81008064E8	2.95525632E8	
sp|P05739|RL6B_YEAST	P05739	RL6B_YEAST	RPL6B	176	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L6-B	1.0	0.999	8	163	89	163	51	53	59	28	31	30	51	53	59	1.03571354E9	1.07122291E9	8.7697997E8	3.016648E8	2.85795072E8	2.66575312E8	
sp|P05740|RL17A_YEAST	P05740	RL17A_YEAST	RPL17A	184	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L17-A	1.0	0.999	6	120	23	120	36	40	44	7	8	8	36	40	44	1.23027136E9	1.01504461E9	1.06125101E9	3.35403392E8	2.91925088E8	2.96571424E8	
sp|P05743|RL26A_YEAST	P05743	RL26A_YEAST	RPL26A	127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L26-A	1.0	0.999	9	5	5	130	1	3	1	1	3	1	42	41	47	5.8913692E7	6.9117072E7	7.1516544E7	5.8913692E7	6.9117072E7	7.1516544E7	
sp|P05744|RL33A_YEAST	P05744	RL33A_YEAST	RPL33A	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L33-A	1.0	0.999	3	29	0	29	10	8	11	0	0	0	10	8	11	4.00242176E8	3.40513504E8	3.54765632E8	3.04332E8	3.54598624E8	3.73436864E8	sp|P41056|RL33B_YEAST
sp|P05745|RL36A_YEAST	P05745	RL36A_YEAST	RPL36A	100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L36-A	0.9946	0.999	4	8	8	68	2	3	3	2	3	3	21	21	26	5.2901672E7	4.4622828E7	4.6597652E7	5.2901672E7	4.4622828E7	4.6597652E7	
sp|P05747|RL29_YEAST	P05747	RL29_YEAST	RPL29	59	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L29	1.0	0.999	2	18	18	18	8	7	3	8	7	3	8	7	3	2.70420192E8	1.01024128E8	6.6067352E7	2.25075776E8	6.841472E7	3.1135542E7	
sp|P05748|RL15A_YEAST	P05748	RL15A_YEAST	RPL15A	204	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L15-A	1.0	0.999	8	135	66	135	42	45	48	21	21	24	42	45	48	1.40482816E9	1.38221299E9	1.37274637E9	2.74705824E8	2.90708608E8	2.88826784E8	
sp|P05749|RL22A_YEAST	P05749	RL22A_YEAST	RPL22A	121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L22-A	1.0	0.999	2	28	17	28	9	9	10	5	6	6	9	9	10	1.44203968E8	1.23327232E8	1.33591408E8	8.2430768E7	8.3081336E7	8.943988E7	
sp|P05750|RS3_YEAST	P05750	RS3_YEAST	RPS3	240	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S3	1.0	0.999	15	249	249	249	80	86	83	80	86	83	80	86	83	2.21895168E9	2.315904E9	2.4208087E9	3.21983616E8	3.40306048E8	3.47708E8	
sp|P05755|RS9B_YEAST	P05755	RS9B_YEAST	RPS9B	195	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S9-B	1.0	0.999	12	217	10	217	71	73	73	2	4	4	71	73	73	2.20453478E9	1.93626035E9	1.91025216E9	2.90524032E8	2.70083648E8	2.69381216E8	
sp|P05756|RS13_YEAST	P05756	RS13_YEAST	RPS13	151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S13	1.0	0.999	7	115	115	115	36	42	37	36	42	37	36	42	37	5.29362144E8	5.6580922E8	6.371017E8	1.41299744E8	1.57350592E8	1.63968608E8	
sp|P05759|RS31_YEAST	P05759	RS31_YEAST	RPS31	152	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ubiquitin-40S ribosomal protein S31	1.0	0.999	5	119	25	119	44	36	39	10	6	9	44	36	39	1.03483987E9	8.6631712E8	1.03135552E9	3.99015232E8	3.87724576E8	4.28265888E8	
sp|P05986|KAPC_YEAST	P05986	KAPC_YEAST	TPK3	398	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	cAMP-dependent protein kinase type 3	0.0	0.9988	2	4	0	4	1	2	1	0	0	0	1	2	1	1.1487817E7	1.0545022E7	6228156.5	7072234.0	6222638.0	6228156.5	
sp|P06101|CDC37_YEAST	P06101	CDC37_YEAST	CDC37	506	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Hsp90 co-chaperone Cdc37	1.0	0.999	8	22	22	22	8	8	6	8	8	6	8	8	6	8.7963936E7	6.733768E7	5.6834796E7	2.1001692E7	2.066725E7	2.3902216E7	
sp|P06102|NOT3_YEAST	P06102	NOT3_YEAST	NOT3	836	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	General negative regulator of transcription subunit 3	0.9674	0.999	1	1	1	1	1	0	0	1	0	0	1	0	0	3251974.5	2818095.5	3326473.8	3251974.5	2818095.5	3326473.8	
sp|P06103|EIF3B_YEAST	P06103	EIF3B_YEAST	PRT1	763	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit B	1.0	0.999	23	90	90	90	30	30	30	30	30	30	30	30	30	2.76750208E8	2.52737504E8	2.63053152E8	3.356502E7	3.0462594E7	3.1021502E7	
sp|P06105|SC160_YEAST	P06105	SC160_YEAST	SCP160	1222	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein SCP160	1.0	0.999	47	176	176	176	59	62	55	59	62	55	59	62	55	6.7839322E8	5.989127E8	6.6298438E8	3.8724572E7	3.4930592E7	3.936738E7	
sp|P06168|ILV5_YEAST	P06168	ILV5_YEAST	ILV5	395	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ketol-acid reductoisomerase, mitochondrial	1.0	0.999	14	187	187	187	59	65	63	59	65	63	59	65	63	7.9818605E8	8.6586842E8	9.21096E8	1.40079392E8	1.42359504E8	1.47340848E8	
sp|P06169|PDC1_YEAST	P06169	PDC1_YEAST	PDC1	563	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pyruvate decarboxylase isozyme 1	1.0	0.999	29	1054	579	1054	357	364	333	198	202	179	357	364	333	2.14727148E10	1.9149482E10	2.16408187E10	2.90592742E9	3.18710221E9	3.28835866E9	
sp|P06182|CCHL_YEAST	P06182	CCHL_YEAST	CYC3	269	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Holocytochrome-c synthase	1.0	0.999	6	13	13	13	5	4	4	5	4	4	5	4	4	2.8556312E7	2.8735448E7	2.8955738E7	1.0458246E7	1.036334E7	1.0365933E7	
sp|P06197|PIS_YEAST	P06197	PIS_YEAST	PIS1	220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.0	0.999	3	12	12	12	4	5	3	4	5	3	4	5	3	3.6271656E7	3.4679188E7	3.51733E7	1.7251698E7	1.6762431E7	1.6519915E7	
sp|P06208|LEU1_YEAST	P06208	LEU1_YEAST	LEU4	619	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	2-isopropylmalate synthase	1.0	0.999	14	53	21	53	19	17	17	8	7	6	19	17	17	1.8443936E8	1.72189888E8	1.51463568E8	3.9091512E7	3.5416936E7	3.3099204E7	
sp|P06244|KAPA_YEAST	P06244	KAPA_YEAST	TPK1	397	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	cAMP-dependent protein kinase type 1	0.9989	0.999	4	3	3	7	1	1	1	1	1	1	2	3	2	4203819.0	0.0	0.0	0.0	0.0	0.0	
sp|P06245|KAPB_YEAST	P06245	KAPB_YEAST	TPK2	380	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	cAMP-dependent protein kinase type 2	0.9946	0.999	3	7	7	11	3	2	2	3	2	2	4	4	3	4167545.8	9272809.0	8950413.0	4167545.8	9272809.0	8950413.0	
sp|P06367|RS14A_YEAST	P06367	RS14A_YEAST	RPS14A	137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S14-A	0.9972	0.996	7	6	6	77	2	1	3	2	1	3	25	24	28	1.906784E7	2.2156628E7	1.9966278E7	1.5376495E7	1.7119918E7	1.5633436E7	
sp|P06634|DED1_YEAST	P06634	DED1_YEAST	DED1	604	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP-dependent RNA helicase DED1	1.0	0.999	18	74	53	74	28	26	20	21	19	13	28	26	20	2.92251008E8	3.18951264E8	3.13126368E8	4.2224612E7	4.0298012E7	4.094526E7	
sp|P06700|SIR2_YEAST	P06700	SIR2_YEAST	SIR2	562	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	NAD-dependent histone deacetylase SIR2	0.6566	0.9847	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P06704|CDC31_YEAST	P06704	CDC31_YEAST	CDC31	161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cell division control protein 31	0.9673	0.999	1	2	2	2	1	0	1	1	0	1	1	0	1	6201414.0	6258024.0	7354237.0	6201414.0	6258024.0	7354237.0	
sp|P06738|PHSG_YEAST	P06738	PHSG_YEAST	GPH1	902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glycogen phosphorylase	1.0	0.999	24	106	106	106	37	38	31	37	38	31	37	38	31	2.71496288E8	3.4235984E8	2.9976608E8	5.1930096E7	5.7181848E7	5.4289216E7	
sp|P06780|RHO1_YEAST	P06780	RHO1_YEAST	RHO1	209	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	GTP-binding protein RHO1	1.0	0.999	5	28	28	28	8	8	12	8	8	12	8	8	12	1.85548144E8	1.21280112E8	1.87900256E8	6.552402E7	5.8663568E7	8.386036E7	
sp|P06782|SNF1_YEAST	P06782	SNF1_YEAST	SNF1	633	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Carbon catabolite-derepressing protein kinase	1.0	0.999	7	18	18	18	5	6	7	5	6	7	5	6	7	3.0834078E7	2.7849038E7	3.5179092E7	7577972.0	8248796.0	8657608.0	
sp|P06785|TYSY_YEAST	P06785	TYSY_YEAST	CDC21	304	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Thymidylate synthase	1.0	0.999	5	14	14	14	5	4	5	5	4	5	5	4	5	2.6970006E7	3.2891148E7	3.1499716E7	1.0633967E7	1.0781161E7	1.1626592E7	
sp|P06787|CALM_YEAST	P06787	CALM_YEAST	CMD1	147	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Calmodulin	1.0	0.999	5	32	32	32	11	11	10	11	11	10	11	11	10	1.68338912E8	1.55958992E8	2.13635584E8	7.3816864E7	9.2632776E7	1.00478344E8	
sp|P07149|FAS1_YEAST	P07149	FAS1_YEAST	FAS1	2051	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Fatty acid synthase subunit beta	1.0	0.999	60	436	436	436	137	151	148	137	151	148	137	151	148	1.67686285E9	1.72284416E9	1.87166733E9	6.3296436E7	6.631362E7	6.83806E7	
sp|P07170|KAD2_YEAST	P07170	KAD2_YEAST	ADK1	222	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Adenylate kinase	1.0	0.999	14	171	171	171	54	56	61	54	56	61	54	56	61	1.06340192E9	1.03414637E9	1.04016774E9	1.62454224E8	1.60798992E8	1.57746448E8	
sp|P07172|HIS8_YEAST	P07172	HIS8_YEAST	HIS5	385	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histidinol-phosphate aminotransferase	1.0	0.999	6	19	19	19	7	7	5	7	7	5	7	7	5	6.8468976E7	6.7234592E7	6.4049864E7	1.7190398E7	1.8735488E7	1.6187038E7	
sp|P07213|TOM70_YEAST	P07213	TOM70_YEAST	TOM70	617	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial import receptor subunit TOM70	1.0	0.999	24	105	105	105	37	36	32	37	36	32	37	36	32	2.97218752E8	2.73775712E8	2.7503376E8	2.556551E7	2.5300726E7	2.518441E7	
sp|P07244|PUR2_YEAST	P07244	PUR2_YEAST	ADE57	802	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Bifunctional purine biosynthetic protein ADE5,7	1.0	0.999	25	168	168	168	54	59	55	54	59	55	54	59	55	5.9811296E8	6.504912E8	6.8165293E8	6.7743648E7	7.4571952E7	7.99596E7	
sp|P07245|C1TC_YEAST	P07245	C1TC_YEAST	ADE3	946	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	C-1-tetrahydrofolate synthase, cytoplasmic	1.0	0.999	39	305	281	305	97	107	101	89	98	94	97	107	101	1.02581216E9	1.19479373E9	1.19233165E9	7.7077728E7	8.8020784E7	8.7302016E7	
sp|P07246|ADH3_YEAST	P07246	ADH3_YEAST	ADH3	375	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Alcohol dehydrogenase 3, mitochondrial	1.0	0.999	13	96	92	358	32	32	32	30	31	31	120	120	118	2.92732256E8	2.93606656E8	2.82943392E8	4.6508136E7	4.4711908E7	4.3716188E7	
sp|P07251|ATPA_YEAST	P07251	ATPA_YEAST	ATP1	545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP synthase subunit alpha, mitochondrial	1.0	0.999	15	140	140	140	44	52	44	44	52	44	44	52	44	6.4998662E8	6.0820538E8	6.4217216E8	9.1367048E7	8.5199688E7	8.719336E7	
sp|P07256|QCR1_YEAST	P07256	QCR1_YEAST	COR1	457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 1, mitochondrial	1.0	0.999	10	31	31	31	12	12	7	12	12	7	12	12	7	7.527824E7	9.7656112E7	6.9940776E7	1.7954546E7	1.8909044E7	1.7634868E7	
sp|P07257|QCR2_YEAST	P07257	QCR2_YEAST	QCR2	368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 2, mitochondrial	1.0	0.999	10	29	29	29	10	8	11	10	8	11	10	8	11	1.28040576E8	1.52361248E8	1.56996496E8	3.2670598E7	3.0727138E7	3.3930556E7	
sp|P07259|PYR1_YEAST	P07259	PYR1_YEAST	URA2	2214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein URA2	1.0	0.999	90	818	807	818	257	275	286	253	272	282	257	275	286	3.57814016E9	3.68078362E9	3.86016538E9	1.41144304E8	1.3995696E8	1.46915456E8	
sp|P07260|IF4E_YEAST	P07260	IF4E_YEAST	CDC33	213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4E	1.0	0.999	8	52	52	52	15	19	18	15	19	18	15	19	18	1.88370544E8	2.06111824E8	1.77061072E8	5.190804E7	6.397974E7	5.9228164E7	
sp|P07262|DHE4_YEAST	P07262	DHE4_YEAST	GDH1	454	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	NADP-specific glutamate dehydrogenase 1	1.0	0.999	21	124	84	124	42	43	39	29	29	26	42	43	39	4.6002176E8	4.60558208E8	4.94097184E8	5.9237108E7	6.0667372E7	6.104918E7	
sp|P07263|SYH_YEAST	P07263	SYH_YEAST	HTS1	546	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histidine--tRNA ligase, mitochondrial	1.0	0.999	10	45	36	45	15	16	14	12	13	11	15	16	14	1.28475552E8	1.18802896E8	1.2777736E8	1.8481414E7	1.9484672E7	2.1638346E7	
sp|P07264|LEUC_YEAST	P07264	LEUC_YEAST	LEU1	779	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	3-isopropylmalate dehydratase	1.0	0.999	11	28	28	28	11	10	7	11	10	7	11	10	7	6.9685472E7	6.2424688E7	7.955644E7	1.1373735E7	1.2950005E7	1.2827996E7	
sp|P07267|CARP_YEAST	P07267	CARP_YEAST	PEP4	405	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Saccharopepsin	1.0	0.999	10	73	73	73	25	24	24	25	24	24	25	24	24	4.47379456E8	5.7654458E8	5.7933651E8	1.3944128E8	1.834592E8	2.00289312E8	
sp|P07273|TFS2_YEAST	P07273	TFS2_YEAST	DST1	309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Transcription elongation factor S-II	1.0	0.999	8	15	15	15	6	5	4	6	5	4	6	5	4	2.5330896E7	2.1752076E7	1.8064596E7	1.0607228E7	8513826.0	7367731.0	
sp|P07274|PROF_YEAST	P07274	PROF_YEAST	PFY1	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Profilin	1.0	0.999	1	15	15	15	5	5	5	5	5	5	5	5	5	4.3231996E7	3.5060516E7	2.7219776E7	2.717282E7	2.7346218E7	2.0754398E7	
sp|P07275|PUT2_YEAST	P07275	PUT2_YEAST	PUT2	575	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	1.0	0.999	3	5	5	5	2	2	1	2	2	1	2	2	1	7085383.0	8185704.5	8259173.0	4555257.5	5248532.0	5096779.5	
sp|P07278|KAPR_YEAST	P07278	KAPR_YEAST	BCY1	416	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	cAMP-dependent protein kinase regulatory subunit	1.0	0.999	14	56	56	56	20	17	19	20	17	19	20	17	19	1.5354592E8	1.6820656E8	1.49735936E8	2.163061E7	2.0517786E7	2.1329444E7	
sp|P07280|RS19A_YEAST	P07280	RS19A_YEAST	RPS19A	144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S19-A	1.0	0.999	9	145	0	145	45	51	49	0	0	0	45	51	49	1.29942874E9	1.3606647E9	1.49273254E9	3.62935392E8	3.51425056E8	3.77547104E8	sp|P07281|RS19B_YEAST
sp|P07283|PMM_YEAST	P07283	PMM_YEAST	SEC53	254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Phosphomannomutase	1.0	0.999	13	101	101	101	35	33	33	35	33	33	35	33	33	2.4486384E8	2.17393488E8	2.35218128E8	4.3259792E7	4.1191348E7	4.7190008E7	
sp|P07284|SYSC_YEAST	P07284	SYSC_YEAST	SES1	462	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Serine--tRNA ligase, cytoplasmic	1.0	0.999	18	101	101	101	32	36	33	32	36	33	32	36	33	4.88954464E8	5.4314682E8	5.33628064E8	8.204712E7	8.3386296E7	8.5017296E7	
sp|P07285|TRPD_YEAST	P07285	TRPD_YEAST	TRP4	380	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Anthranilate phosphoribosyltransferase	0.9674	0.999	1	2	2	2	1	1	0	1	1	0	1	1	0	1828250.2	1909660.4	1528703.1	1828250.2	1909660.4	1528703.1	
sp|P07342|ILVB_YEAST	P07342	ILVB_YEAST	ILV2	687	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Acetolactate synthase catalytic subunit, mitochondrial	1.0	0.999	9	29	29	29	10	10	9	10	10	9	10	10	9	8.7835488E7	8.0120368E7	8.2395168E7	1.943518E7	1.8047444E7	1.7919282E7	
sp|P07347|ARD1_YEAST	P07347	ARD1_YEAST	ARD1	238	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	N-terminal acetyltransferase A complex catalytic subunit ARD1	1.0	0.999	3	10	10	10	3	4	3	3	4	3	3	4	3	2.4218718E7	2.1775056E7	2.3570112E7	1.0703788E7	7841826.0	9331487.0	
sp|P07560|SEC4_YEAST	P07560	SEC4_YEAST	SEC4	215	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ras-related protein SEC4	1.0	0.999	9	53	41	53	17	19	17	13	15	13	17	19	17	1.95304192E8	1.82784864E8	1.95348064E8	4.341744E7	4.0655512E7	4.0133472E7	
sp|P07702|LYS2_YEAST	P07702	LYS2_YEAST	LYS2	1392	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	L-2-aminoadipate reductase	1.0	0.999	13	30	30	30	11	11	8	11	11	8	11	11	8	5.347236E7	7.0951072E7	6.7204096E7	1.7212996E7	1.8422554E7	1.6993058E7	
